ID,Sp,No. Hojas,No. Foliolos max,Long hoja + larga,Long raquis sin aguijones,Imbricacion,Observaciones
1, Chigua,15,228,207,78,1.5,Chi1 
2, Chigua,3,140,183,32,1.5,2
3, Chigua,25,155,201,35.5,1,3
4,Amplifolia,1,10,38,17,4.2,2
5,Amplifolia,1,4,40,10,2.5,1-juvenil
6,Chigua,6,105,174,31.7,1.5,4
7,Chigua,1,121,84,28,0.6,5
8,Amplifolia,2,4,58,4.5,3,16
9,Chigua,7,202,210,107,1,6
10,Chigua,5,112,140,36,1.6,7
11,Chigua,5,89,107,33,1.4,8
12,Chigua,4,86,90,34,0.7,10
13,Chigua,4,128,154.5,37.7,1.8,9
14,Amplifolia,2,6,85.5,27,7,4- hoja nueva
15,Chigua,1,78,89,27.3,1.2,11-juvenil
16,Amplifolia,2,6,62,11.5,4.5,3
17,Hibrido,2,21,71,26.5,3.3,8
18,Chigua,2,94,104,36,0.8,23
19,Amplifolia,2,4,46,19,1.3,5
20,Amplifolia,2,12,144,37,7.5,6
21,Chigua,4,104,109.5,17.7,1.5,12- hoja nueva es la mas larga
22,Amplifolia,1,7,47,9.8,3.6,17
23,Chigua,5,42,41.6,7.7,0.7,24
24,Amplifolia,1,6,37,10,2,18
25,Amplifolia,1,3,54.4,40.7,2.1,18
26,Amplifolia,1,9,146,5.5,6.5,19
27,Amplifolia,1,6,97.4,29.6,4.2,20
28,Amplifolia,1,6,98.6,21,5.7,21
29,Amplifolia,1,4,29.8,10.7,1.5,22
30,Amplifolia,1,10,95,22,5,23
31,Chigua,4,114,150,74,1.8,26
32,Amplifolia,1,6,80,34,8,24
33,Hibrido,1,31,108.5,42,2.6,9
34,Amplifolia,2,5,100,33,3,25
35,Amplifolia,2,10,143,38,7,26
36,Chigua,7,237,257,93,0.7,27-cerca Amplifolia
37,Amplifolia,3,10,96,33.5,9,27- Cerca a Chigua
38,Hibrido,1,42,75,32,1.8,10
39,Chigua,1,76,92,55,1,28
40,Chigua,10,164,155,38,0.6,29
41,Hibrido,1,17,72,26.7,4,11
42,Amplifolia,2,4,86,20,4.5,28
43,Hibrido,1,31,141,38,3,12
44,Amplifolia,2,5,147,39,8.5,29
45,Amplifolia-hibrido,1,12,121,15,6,13
46,Amplifolia,2,6,85.6,22,6.2,30
47,Chigua,6,98,112.3,44,1.3,30
48,Chigua,5,149,160,57,0.9,31
49,Hibrido,11,58,200,36,3.5,14
50,Hibrido,1,14,59,31,3.1,15
51,Amplifolia,1,4,95,48,3,37
52,Amplifolia,3,10,118,27,7.7,
53,Amplifolia,2,9,162,31,9.3,16
54,Amplifolia,1,6,96.3,19,3.5,32
55,Chigua,3,81,125,37,1,32
56,Amplifolia,1,4,73,18,5.8,33
57,Chigua,1,76,66,34,0.7,33
58,Hibrido)?,1,5,42,13.4,0.8,16
59,Chigua,6,128,224,122,1.4,34
60,Chigua,7,177,201,90,0.8,35
61,Chigua)?,2,42,79,41.5,1.3,36
62,Chigua,1,119,112,65,1.2,37
63,Chigua,5,106,131,47,0.7,38- hoja mas larga es juvenil
64,Hibrido,1,20,80,27,3,17
65,Chigua,4,142,187,68,1,39
66,Amplifolia,1,6,85,20,5,34
67,Chigua,1,96,150,68,1.3,40
68,Chigua,1,60,141,80,1.7,41
69,Amplifolia,3,8,133,44,6.5,35
70,Hibrido,3,16,87,36,3.3,18
71,Hibrido,1,17,71,22,3,19
72,Amplifolia,3,4,39,10,1.4,36
73,Amplifolia,1,4,33,10,1,37
74,Chigua,4,38,61.2,24.4,1.3,42
75,Hibrido,2,8,35.2,11.7,2.2,21
76,Amplifolia,2,6,73,10,3.5,38
77,Amplifolia,1,3,58,30,2,39
78,Amplifolia,2,4,38,8,1.3,40
79,Hibrido,1,12,56,20,3.2,22
80,Amplifolia,1,8,127,25,6,9
81,Chigua,2,67,95,33,1.3,16
82,Amplifolia,2,4,51,23,1.1,8
83,Chigua,2,64,60,39,1.2,43
84,Chigua,11,162,136,81,0.7,17
85,Chigua,2,118,118,48,1.3,16
86,Amplifolia,3,3,44,21,1.9,41
87,Hibrido,2,8,48,28,3.5,2
88,Amplifolia,2,45,83,38,1,44
89,Amplifolia,2,6,61,33,2.8,42
90,Amplifolia,1,4,46,25.5,2,43
91,Amplifolia,2,6,109.6,19,6.2,44
92,Amplifolia,3,6,110.4,39,5.4,45
93,Amplifolia,2,9,188,43,10.5,46
94,Amplifolia,1,6,67,27,2.8,11
95,Amplifolia,1,8,143,32,6,12
96,Chigua,2,38,68,38,1.6,45
97,Amplifolia,2,6,159,33,9,13
98,Chigua,2,78,81,43,1.2,46
99,Chigua,3,66,93,40,1.2,19
100,Amplifolia,1,10,76,20,4,47
101,Chigua,6,72,90,30,1.3,47
102,Chigua,3,96,61,25,0.5,48
103,Chigua,3,43,65,23.5,0.7,49
104,Chigua,2,54,49,25,0.6,50
105,Amplifolia,2,6,76,20,2.3,48
106,Chigua,1,82,88,56,1.2,51
107,Amplifolia,1,6,57.5,14,3.3,49
108,Amplifolia,2,12,157,22,7.5,50
109,Hibrido,1,10,19,7,1.3,23
110,Amplifolia,4,8,90,15,3,51
111,Hibrido,2,54,104,48,2.5,24
112,Amplifolia,2,4,45,14,3.4,52
113,Amplifolia,1,10,116,34,6.5,53
114,Chigua,14,224,191,82,0.7,52
115,Amplifolia,3,6,68.4,8,3.4,54
116,Chigua,9,206,252,50,1.2,53
117,Híbrido,2,22,90,15,2,25 (junto a 118)
118,Amplifolia,3,5,50,22,3.6,55
119,Chigua,8,192,180,87,0.6,54
120,Amplifolia,3,6,111,21,8,56
121,Chigua,10,150,212,45,0.8,55
122,Chigua,7,108,160,72,0.7,56
123,Amplifolia,3,12,121,35,5.5,57- foliolos doblados (araña)
124,Chigua,4,130,130,82,0.7,57
125,Amplifolia,3,6,81,15,3.5,59
126,Amplifolia,3,6,57,10,1.9,60
127,Chigua,9,179,155,44,0.7,58
128,Amplifolia,2,4,41,9,2,61
129,Híbrido,4,21,144,27,5.5,26
130,Amplifolia,3,6,71,20,4.5,62
131,Chigua,5,144,127.8,57,0.6,59
132,Amplifolia,3,4,67,10,2,63
133,Chigua,4,112,112,76,1,60
134,Amplifolia,2,8,104,20,6,64- se midió la  más joven (recolecta adulto)
135,Chigua,4,95,82,57,1.2,71
136,Amplifolia,2,6,76,15,4,76
137,Amplifolia,5,6,57,17,2.5,67
138,Amplifolia,2,6,77,12,3,66
